Timestamp,CURRENT,FREQ,POWER,SCALE_SPEED,TORQUE,VOLTAGE_AC
2017-08-22T13:24:27.900Z,0.882648,42.542725,0.024927,70.905724,0.242642,156.311035
2017-08-22T13:24:26.703Z,0.881044,39.569092,0.022729,65.945473,0.23237,146.30127
2017-08-22T13:24:25.690Z,0.894321,36.903076,0.022656,61.50425,0.179764,138.122559
2017-08-22T13:24:24.678Z,0.884163,34.702148,0.022046,57.836674,0.26272,131.469727
2017-08-22T13:24:23.663Z,0.903767,33.09082,0.022095,55.152977,0.201553,126.098633
2017-08-22T13:24:22.650Z,0.91856,32.164307,0.020703,53.606976,0.247934,124.023438
2017-08-22T13:24:21.642Z,0.907332,31.973877,0.021118,53.2873,0.227078,124.206543
2017-08-22T13:24:20.639Z,0.917579,32.526855,0.021069,54.212299,0.237973,126.525879
2017-08-22T13:24:19.627Z,0.902163,33.797607,0.022046,56.328926,0.264899,130.79834
2017-08-22T13:24:18.583Z,0.888262,36.873779,0.023267,61.455727,0.154706,142.700195
2017-08-22T13:24:17.421Z,0.884876,40.98999,0.025513,68.319,0.251514,152.22168
2017-08-22T13:24:16.290Z,0.865717,45.622559,0.027222,76.038803,0.234705,167.907715
2017-08-22T13:24:14.207Z,0.842548,48.702393,0.02915,81.173172,0.243265,177.856445
2017-08-22T13:24:13.200Z,0.842102,51.573486,0.029858,85.953651,0.195483,186.889648
2017-08-22T13:24:12.184Z,0.862419,54.063721,0.03125,90.106224,0.234238,194.885254
2017-08-22T13:24:11.178Z,0.840587,56.033936,0.03269,93.392853,0.228946,201.23291
2017-08-22T13:24:10.173Z,0.829448,57.374268,0.032739,95.625122,0.214627,205.749512
2017-08-22T13:24:09.167Z,0.851726,58.00415,0.033032,96.675095,0.193771,207.763672
2017-08-22T13:24:08.170Z,0.862419,57.890625,0.033105,96.482552,0.249802,207.397461
2017-08-22T13:24:07.167Z,0.840409,57.033691,0.034009,95.058525,0.223654,204.467773
2017-08-22T13:24:06.162Z,0.858499,55.491943,0.032739,92.48468,0.230502,199.401855
2017-08-22T13:24:05.148Z,0.866875,53.345947,0.030884,88.908554,0.247,192.199707
2017-08-22T13:24:04.128Z,0.854845,50.720215,0.029395,84.535095,0.254315,183.105469
2017-08-22T13:24:03.122Z,0.850389,47.768555,0.027783,79.615074,0.237039,174.072266
2017-08-22T13:24:02.110Z,0.871152,44.659424,0.026245,74.430496,0.202487,163.94043
2017-08-22T13:24:01.103Z,0.857964,41.568604,0.025317,69.278549,0.249646,154.052734
2017-08-22T13:24:00.094Z,0.88247,38.671875,0.023291,64.454597,0.224744,144.65332
2017-08-22T13:23:59.085Z,0.888351,36.141357,0.022852,60.235149,0.248557,136.657715
2017-08-22T13:23:58.075Z,0.878638,34.116211,0.022144,56.862076,0.247623,130.371094
2017-08-22T13:23:57.066Z,0.91348,32.717285,0.021802,54.528725,0.26163,126.098633
2017-08-22T13:23:56.062Z,0.883272,32.021484,0.019946,53.3689,0.254938,124.023438
2017-08-22T13:23:55.054Z,0.888084,32.069092,0.022144,53.449051,0.265366,124.206543
2017-08-22T13:23:54.047Z,0.90243,32.860107,0.022021,54.764576,0.231436,126.525879
2017-08-22T13:23:53.039Z,0.874093,34.343262,0.022095,57.240074,0.283731,131.347656
2017-08-22T13:23:52.036Z,0.868212,36.44165,0.021729,60.73365,0.226456,138.061523
2017-08-22T13:23:51.021Z,0.849142,39.0271,0.02373,65.045052,0.206067,146.240234
2017-08-22T13:23:49.829Z,0.854489,41.956787,0.02417,69.927078,0.239841,157.470703
2017-08-22T13:23:48.825Z,0.869548,45.058594,0.025391,75.099922,0.231436,166.503906
2017-08-22T13:23:47.820Z,0.867142,48.1604,0.028125,80.267052,0.252448,176.208496
2017-08-22T13:23:46.795Z,0.846736,51.079102,0.028003,85.132225,0.234705,185.974121
2017-08-22T13:23:45.782Z,0.846736,53.649902,0.031226,89.416595,0.218362,193.786621
2017-08-22T13:23:44.776Z,0.852083,55.726318,0.030688,92.87455,0.190659,200.561523
2017-08-22T13:23:43.710Z,0.852885,57.183838,0.032983,95.307846,0.210736,205.26123
2017-08-22T13:23:42.714Z,0.869637,57.945557,0.032422,96.577026,0.217429,207.580566
2017-08-22T13:23:41.697Z,0.872489,57.963867,0.03208,96.609329,0.238751,207.397461
2017-08-22T13:23:40.682Z,0.849587,57.242432,0.032617,95.402878,0.202487,204.345703
2017-08-22T13:23:39.668Z,0.849231,55.817871,0.03313,93.026871,0.222876,199.584961
2017-08-22T13:23:38.665Z,0.868033,53.770752,0.030371,89.617477,0.230502,192.687988
2017-08-22T13:23:37.598Z,0.868033,53.770752,0.030371,89.617477,0.230502,192.687988
