model,feature_set,target,is_multiclass,n_test,accuracy,precision_macro,recall_macro,f1_macro,class_0_precision,class_0_recall,class_0_f1,class_0_count,class_1_precision,class_1_recall,class_1_f1,class_1_count,prec@0.4,signals@0.4,prec@0.5,signals@0.5,prec@0.6,signals@0.6,prec@0.7,signals@0.7,prec@0.8,signals@0.8,confusion_matrix,train_time_s,n_features,n_train,n_valid_target_rows,target_desc
XGBoost,V2_momentum,bin_rr10m_ge_3,False,1005244,0.5927287305370637,0.5668616536642888,0.576210017375579,0.5630896341633858,0.745,0.6202,0.6769,691465,0.3887,0.5322,0.4493,313779,0.3323,869105,0.3887,429642,0.4878,128694,0.5997,30562,0.7088,2342,"[[428830, 262635], [146772, 167007]]",36.06,37,4021094,5026368,Reward/Risk futuro 10m >= 3
XGBoost,V2_momentum,bin_rr30m_ge_2,False,969340,0.5899292301978666,0.5700377842969208,0.571030992928837,0.5703826402691672,0.6707,0.6535,0.662,595684,0.4693,0.4885,0.4787,373656,0.3999,881150,0.4693,388922,0.5974,117012,0.7342,38598,0.8286,13195,"[[389302, 206382], [191116, 182540]]",32.04,37,3877478,4846848,Reward/Risk futuro 30m >= 2
XGBoost,V2_momentum,bin_tb30m_tp4p0_sl2p0,False,962361,0.6643442533519126,0.6227832715673923,0.7157289897337362,0.6012665939669963,0.9386,0.6383,0.7599,800615,0.307,0.7931,0.4427,161746,0.2797,509620,0.307,417848,0.3519,286263,0.4598,101527,0.6109,27191,"[[511053, 289562], [33460, 128286]]",34.63,37,3849564,4811955,TP +4.0% antes SL -2.0% en 30 candles
XGBoost,V2_momentum,bin_tb60m_tp4p0_sl2p0,False,907494,0.626299457627268,0.6204381867120363,0.6710350459365394,0.5937699131176992,0.8899,0.5888,0.7087,700679,0.351,0.7532,0.4788,206815,0.3212,559443,0.351,443878,0.4234,225230,0.5628,71779,0.6859,21861,"[[412582, 288097], [51034, 155781]]",29.48,37,3630094,4537618,TP +4.0% antes SL -2.0% en 60 candles
XGBoost,V2_momentum,bin_clean_entry_10m,False,1005244,0.6692792993541866,0.5883949508789923,0.7304139396846843,0.556237745916064,0.9676,0.6536,0.7802,902773,0.2092,0.8072,0.3323,102471,0.1871,489232,0.2092,395414,0.2445,270161,0.3169,117766,0.4432,29002,"[[590074, 312699], [19756, 82715]]",33.88,37,4021094,5026368,Upside >= 3% y drawdown < 1.5% en 10 candles
XGBoost,D_clean_ext,bin_rr10m_ge_2,False,1005244,0.5936011555403464,0.5777542305458645,0.5808093885580824,0.577870121759517,0.687,0.6339,0.6594,623741,0.4686,0.5277,0.4964,381503,0.4053,872440,0.4686,429685,0.5715,145783,0.6806,38096,0.7915,5219,"[[395385, 228356], [180174, 201329]]",49.36,71,4021094,5026368,Reward/Risk futuro 10m >= 2
XGBoost,D_clean_ext,bin_rr10m_ge_3,False,1005244,0.6075052425082865,0.5767246500619456,0.5865497371531723,0.5751028859483712,0.751,0.6423,0.6924,691465,0.4024,0.5308,0.4578,313779,0.3383,851289,0.4024,413866,0.4967,152013,0.6095,39588,0.734,4756,"[[444145, 247320], [147233, 166546]]",52.2,71,4021094,5026368,Reward/Risk futuro 10m >= 3
XGBoost,D_clean_ext,bin_rr30m_ge_2,False,969340,0.6096075680359833,0.5880069146871286,0.5880150755794292,0.5880109892321618,0.6824,0.6823,0.6823,595684,0.4936,0.4937,0.4937,373656,0.4104,848829,0.4936,373749,0.6248,137936,0.7431,60230,0.837,23653,"[[406426, 189258], [189165, 184491]]",47.16,71,3877478,4846848,Reward/Risk futuro 30m >= 2
XGBoost,D_clean_ext,bin_tb30m_tp4p0_sl2p0,False,962361,0.6814968603258029,0.6329087139049066,0.7318421946038915,0.6171377131723306,0.9441,0.656,0.7741,800615,0.3217,0.8077,0.4602,161746,0.293,492167,0.3217,406047,0.3715,277456,0.4873,109958,0.629,36349,"[[525207, 275408], [31107, 130639]]",48.9,71,3849564,4811955,TP +4.0% antes SL -2.0% en 30 candles
XGBoost,D_clean_ext,bin_tb60m_tp4p0_sl2p0,False,907494,0.6482412004927857,0.6333688690689682,0.6888890320691808,0.6133993813435323,0.898,0.6142,0.7295,700679,0.3688,0.7636,0.4973,206815,0.3356,539458,0.3688,428244,0.4525,220801,0.5863,86396,0.7043,32077,"[[430355, 270324], [48895, 157920]]",45.71,71,3630094,4537618,TP +4.0% antes SL -2.0% en 60 candles
LightGBM,V2_core,bin_rr10m_ge_2,False,1005244,0.5898945927555896,0.574171781327384,0.5771318712490707,0.5741915462859164,0.684,0.6301,0.656,623741,0.4643,0.5242,0.4924,381503,0.4006,890324,0.4643,430697,0.5692,132241,0.6821,31946,0.7966,3662,"[[393016, 230725], [181531, 199972]]",29.74,42,4021094,5026368,Reward/Risk futuro 10m >= 2
LightGBM,V2_core,bin_rr10m_ge_3,False,1005244,0.606449777367485,0.5738681689831606,0.5829947117765961,0.5725884267941022,0.7479,0.6454,0.6929,691465,0.3998,0.5206,0.4523,313779,0.3341,869856,0.3998,408521,0.497,138442,0.6091,34900,0.7434,3211,"[[446287, 245178], [150436, 163343]]",29.57,42,4021094,5026368,Reward/Risk futuro 10m >= 3
XGBoost,D_clean_ext,bin_clean_entry_10m,False,1005244,0.680351238107365,0.5935781553074494,0.7419766041113474,0.5660023240235031,0.9701,0.6646,0.7888,902773,0.2171,0.8194,0.3432,102471,0.1939,475785,0.2171,386780,0.2546,266182,0.3332,118678,0.4634,32681,"[[599956, 302817], [18508, 83963]]",52.26,71,4021094,5026368,Upside >= 3% y drawdown < 1.5% en 10 candles
LightGBM,V2_core,bin_rr30m_ge_2,False,969340,0.6047558132337467,0.5833758516489127,0.5836231194191834,0.5834933577603892,0.6793,0.6759,0.6776,595684,0.4874,0.4914,0.4894,373656,0.4069,864772,0.4874,376670,0.6296,126310,0.749,52281,0.8479,20039,"[[402614, 193070], [190056, 183600]]",25.88,42,3877478,4846848,Reward/Risk futuro 30m >= 2
LightGBM,V2_core,bin_tb30m_tp4p0_sl2p0,False,962361,0.6740505901631508,0.6306160424178487,0.7290640066956942,0.6115486122357403,0.9445,0.6462,0.7674,800615,0.3168,0.8119,0.4557,161746,0.2892,500047,0.3168,414589,0.3648,285958,0.4797,108298,0.6367,32104,"[[517353, 283262], [30419, 131327]]",25.54,42,3849564,4811955,TP +4.0% antes SL -2.0% en 30 candles
LightGBM,V2_core,bin_tb60m_tp4p0_sl2p0,False,907494,0.6373772168190643,0.6307310796259615,0.6856264272192105,0.6054507206103832,0.8996,0.597,0.7177,700679,0.3619,0.7743,0.4932,206815,0.3312,549347,0.3619,442531,0.4433,229491,0.5864,78601,0.7156,28528,"[[418282, 282397], [46681, 160134]]",23.57,42,3630094,4537618,TP +4.0% antes SL -2.0% en 60 candles
LightGBM,V2_core,bin_clean_entry_10m,False,1005244,0.6726118235970571,0.5918743493185479,0.7394800763410644,0.560699868573598,0.9703,0.6555,0.7824,902773,0.2134,0.8235,0.339,102471,0.1911,483845,0.2134,395398,0.2494,272960,0.3263,118973,0.456,29531,"[[591757, 311016], [18089, 84382]]",26.82,42,4021094,5026368,Upside >= 3% y drawdown < 1.5% en 10 candles
LightGBM,V2_full,bin_rr10m_ge_2,False,1005244,0.5913638877725209,0.5772023288266785,0.5806180221567405,0.5769624209447268,0.6878,0.6252,0.655,623741,0.4666,0.536,0.4989,381503,0.4045,874471,0.4666,438266,0.5717,140742,0.6882,35481,0.8094,4438,"[[389970, 233771], [177008, 204495]]",43.72,76,4021094,5026368,Reward/Risk futuro 10m >= 2
LightGBM,V2_full,bin_rr30m_ge_2,False,969340,0.6073163183196815,0.5861830219781733,0.5864954738843593,0.5863299853472359,0.6816,0.6774,0.6795,595684,0.4907,0.4956,0.4932,373656,0.409,859906,0.4907,377352,0.6286,131037,0.7439,55870,0.8426,22141,"[[403514, 192170], [188474, 185182]]",42.37,76,3877478,4846848,Reward/Risk futuro 30m >= 2
LightGBM,V2_full,bin_rr10m_ge_3,False,1005244,0.6034883073164327,0.5761402742650711,0.5865151454907909,0.5734090815538568,0.7522,0.6317,0.6867,691465,0.4001,0.5413,0.4601,313779,0.3381,850627,0.4001,424534,0.4987,146712,0.6184,36482,0.7518,3642,"[[436792, 254673], [143918, 169861]]",50.65,76,4021094,5026368,Reward/Risk futuro 10m >= 3
LightGBM,V2_full,bin_tb30m_tp4p0_sl2p0,False,962361,0.6765683563652309,0.6316119809736138,0.7304637480681289,0.6135805201989543,0.9446,0.6493,0.7696,800615,0.3186,0.8116,0.4576,161746,0.2902,498662,0.3186,412074,0.367,283257,0.4795,110894,0.6311,33795,"[[519822, 280793], [30465, 131281]]",44.91,76,3849564,4811955,TP +4.0% antes SL -2.0% en 30 candles
LightGBM,V2_full,bin_tb60m_tp4p0_sl2p0,False,907494,0.6406753102499851,0.6321945582979033,0.6876310026417958,0.6081930036883364,0.9001,0.6013,0.721,700679,0.3643,0.7739,0.4954,206815,0.3329,546989,0.3643,439384,0.446,227014,0.5864,82506,0.7069,30598,"[[421352, 279327], [46758, 160057]]",40.73,76,3630094,4537618,TP +4.0% antes SL -2.0% en 60 candles
LightGBM,V2_momentum,bin_rr10m_ge_2,False,1005244,0.5811295566051625,0.5671856673291347,0.5702245947045614,0.5666711883140184,0.6793,0.6155,0.6458,623741,0.4551,0.525,0.4875,381503,0.3978,895683,0.4551,440120,0.5599,121098,0.6735,27225,0.7856,2276,"[[383899, 239842], [181225, 200278]]",29.85,37,4021094,5026368,Reward/Risk futuro 10m >= 2
LightGBM,V2_momentum,bin_rr10m_ge_3,False,1005244,0.5920383508879437,0.5662942053611902,0.5755811094421778,0.5624467195177486,0.7446,0.6194,0.6762,691465,0.388,0.5318,0.4487,313779,0.3315,873186,0.388,430044,0.4869,126444,0.5981,28785,0.7207,1962,"[[428282, 263183], [146918, 166861]]",30.03,37,4021094,5026368,Reward/Risk futuro 10m >= 3
LightGBM,V2_full,bin_clean_entry_10m,False,1005244,0.6764019481837246,0.5926013447741748,0.7404223346962808,0.5632144177128524,0.9701,0.66,0.7856,902773,0.2151,0.8208,0.3409,102471,0.1921,481287,0.2151,391048,0.2522,269782,0.3279,120618,0.4536,31600,"[[595837, 306936], [18359, 84112]]",51.35,76,4021094,5026368,Upside >= 3% y drawdown < 1.5% en 10 candles
LightGBM,V2_momentum,bin_rr30m_ge_2,False,969340,0.5887119070707905,0.5689917873561929,0.5700395373847988,0.5693401418090446,0.6701,0.6516,0.6607,595684,0.4679,0.4885,0.478,373656,0.3988,888638,0.4679,390098,0.5999,113021,0.7382,36376,0.8297,12328,"[[388124, 207560], [191118, 182538]]",26.84,37,3877478,4846848,Reward/Risk futuro 30m >= 2
LightGBM,V2_momentum,bin_tb30m_tp4p0_sl2p0,False,962361,0.6610346844895003,0.6222960267906588,0.7153950808556311,0.5991065764458169,0.9393,0.6335,0.7567,800615,0.3053,0.7973,0.4415,161746,0.2785,512670,0.3053,422375,0.3493,289307,0.4548,101815,0.6112,24943,"[[507197, 293418], [32789, 128957]]",24.86,37,3849564,4811955,TP +4.0% antes SL -2.0% en 30 candles
LightGBM,V2_momentum,bin_tb60m_tp4p0_sl2p0,False,907494,0.6226189925222646,0.6201885582314586,0.6707475956334348,0.5913577180453707,0.8912,0.5823,0.7044,700679,0.3492,0.7592,0.4783,206815,0.3197,564192,0.3492,449678,0.4208,226721,0.5646,68696,0.687,19315,"[[408012, 292667], [49804, 157011]]",22.58,37,3630094,4537618,TP +4.0% antes SL -2.0% en 60 candles
LightGBM,V2_momentum,bin_clean_entry_10m,False,1005244,0.6632638443999666,0.5875395378405132,0.7295996042749147,0.5524880621917992,0.9682,0.6463,0.7751,902773,0.2069,0.8129,0.3298,102471,0.1854,495528,0.2069,402633,0.243,272902,0.3162,116158,0.4405,27787,"[[583441, 319332], [19170, 83301]]",26.22,37,4021094,5026368,Upside >= 3% y drawdown < 1.5% en 10 candles
LightGBM,D_clean_ext,bin_rr10m_ge_2,False,1005244,0.5930202020603953,0.5768101062753938,0.5797441991927375,0.576967967551185,0.6859,0.6348,0.6594,623741,0.4677,0.5247,0.4946,381503,0.404,877674,0.4677,427923,0.5694,143747,0.6842,36036,0.8003,4331,"[[395974, 227767], [181347, 200156]]",39.92,71,4021094,5026368,Reward/Risk futuro 10m >= 2
LightGBM,D_clean_ext,bin_rr30m_ge_2,False,969340,0.6098592856995482,0.5873294336776453,0.5868108908665799,0.5870471355133506,0.6808,0.6874,0.6841,595684,0.4939,0.4862,0.49,373656,0.4082,861517,0.4939,367855,0.6289,131287,0.7445,54758,0.8322,20398,"[[409495, 186189], [191990, 181666]]",39.43,71,3877478,4846848,Reward/Risk futuro 30m >= 2
LightGBM,D_clean_ext,bin_rr10m_ge_3,False,1005244,0.6076206373775919,0.576279580563378,0.5859399275077699,0.57479401088864,0.7504,0.6436,0.6929,691465,0.4022,0.5282,0.4566,313779,0.3371,857751,0.4022,412156,0.4959,149078,0.6093,37231,0.7368,3761,"[[445058, 246407], [148030, 165749]]",44.39,71,4021094,5026368,Reward/Risk futuro 10m >= 3
LightGBM,D_clean_ext,bin_tb30m_tp4p0_sl2p0,False,962361,0.6768863243626871,0.6318829890525612,0.7309261932895035,0.6139271243463288,0.9448,0.6495,0.7698,800615,0.3189,0.8123,0.458,161746,0.291,498105,0.3189,411988,0.3666,282973,0.4802,111585,0.628,34745,"[[520018, 280597], [30355, 131391]]",41.59,71,3849564,4811955,TP +4.0% antes SL -2.0% en 30 candles
LightGBM,D_clean_ext,bin_tb60m_tp4p0_sl2p0,False,907494,0.6436472307254923,0.6332159883509163,0.6889813075983027,0.6105192653664018,0.9001,0.6057,0.7241,700679,0.3663,0.7723,0.4969,206815,0.3344,544353,0.3663,436013,0.446,228028,0.5868,83231,0.7062,30485,"[[424386, 276293], [47095, 159720]]",37.1,71,3630094,4537618,TP +4.0% antes SL -2.0% en 60 candles
LightGBM,D_clean_ext,bin_clean_entry_10m,False,1005244,0.6755165909968127,0.5929554973042168,0.741724524800683,0.5630450825925774,0.9707,0.6586,0.7847,902773,0.2152,0.8249,0.3414,102471,0.1922,482421,0.2152,392768,0.2519,270211,0.3286,119363,0.4586,31690,"[[594532, 308241], [17944, 84527]]",31.2,71,4021094,5026368,Upside >= 3% y drawdown < 1.5% en 10 candles
