model,feature_set,target,prec@0.4,signals@0.4,prec@0.5,signals@0.5,prec@0.7,signals@0.7,class_1_precision,prec@0.6,signals@0.6,class_1_recall,class_1_f1,f1_macro,prec@0.8,signals@0.8,accuracy
XGBoost,D1_core_momentum,bin_first_touch_10m_1p5,0.6025,32097,0.6996,6176,,3.0,0.4712,0.7919,942,163079.0,0.5144,0.5861381826499492,47.0,785381,0.5863098270135904
XGBoost,D1_core_momentum,bin_first_touch_10m_1p0,0.6355,29722,0.7153,6488,,2.73,0.4995,0.8044,956,163102.0,0.549,0.5860586469216325,47.0,760476,0.58606757887095
XGBoost,D1_core_momentum,bin_tb10m_tp1p5_sl0p5,0.461,26717,0.5707,7566,,2.96,0.3111,0.6758,1780,148945.0,0.3653,0.5708210264270122,47.0,759715,0.607307042164519
XGBoost,D1_core_momentum,bin_tb10m_tp2p0_sl0p7,0.4356,25668,0.5632,5964,,2.93,0.2908,0.6688,1253,154316.0,0.3363,0.5568264964227261,47.0,779298,0.5926127467337458
XGBoost,D1_core_momentum,bin_tb10m_tp2p5_sl1p0,0.4161,27817,0.5463,5890,,2.86,0.2882,0.6523,1093,152846.0,0.3281,0.5513691014173625,47.0,792166,0.5830555723895522
XGBoost,D1_core_momentum,bin_tb10m_tp4p0_sl2p0,0.3526,44951,0.4623,10452,,2.97,0.2634,0.6208,1825,124920.0,0.3023,0.5752347456226063,47.0,806939,0.6347884286457947
XGBoost,D1_core_momentum,bin_tb10m_tp5p0_sl2p5,0.319,47768,0.3949,16647,,3.0,0.2432,0.5694,3096,107133.0,0.2789,0.5849906928766977,47.0,809896,0.673588745529628
XGBoost,D1_core_momentum,bin_tb10m_tp6p0_sl3p0,0.2967,45909,0.3581,22485,,3.06,0.2279,0.5221,4848,92003.0,0.261,0.5927384309129083,47.0,811395,0.7085578767275256
XGBoost,D1_core_momentum,bin_fr10m_1p0,0.5032,30696,0.6202,7501,,2.96,0.3698,0.7326,1657,160693.0,0.4149,0.5723136074412182,47.0,817271,0.5888451597744361
XGBoost,D1_core_momentum,bin_fr10m_1p5,0.4495,32836,0.5855,8267,,3.0,0.3231,0.7305,1978,149590.0,0.3701,0.575180910773997,47.0,817271,0.6085722117794486
XGBoost,D1_core_momentum,bin_mae10m_lt_0p5,0.4384,54456,0.5439,27145,,3.07,0.3162,0.73,9663,115428.0,0.3679,0.6245906218997196,47.0,817271,0.6767847352756893
XGBoost,D1_core_momentum,bin_mae10m_lt_1p0,0.5906,65168,0.6891,35512,,3.09,0.4671,0.8304,13696,125253.0,0.5219,0.6670890475239348,47.0,817271,0.6788259711779449
XGBoost,D1_core_momentum,bin_opportunity_clean_10m_1p5_0p5,0.283,45106,0.3757,11098,,3.03,0.2032,0.5173,1299,130520.0,0.2313,0.5321158239712138,47.0,817271,0.6064428649749374
XGBoost,D1_core_momentum,bin_opportunity_clean_10m_1p0_0p3,0.2575,47169,0.328,16327,,5.15,0.1835,0.4561,2508,120022.0,0.2123,0.5348386634947201,47.0,817271,0.6289649906015038
XGBoost,D1_core_momentum,bin_rr10m_ge_2,0.5676,28786,0.6812,6270,,3.0,0.4095,0.8229,1395,170901.0,0.4615,0.5725432820634979,47.0,817271,0.5820214598997494
XGBoost,D1_core_momentum,bin_rr10m_ge_3,0.4914,28509,0.6267,5896,,2.93,0.3427,0.7687,1232,166482.0,0.3956,0.5673968577007911,47.0,817271,0.5913514254385965
XGBoost,D1_core_momentum,bin_follow_through_hod_10m_0p5,0.4366,32871,0.4949,26724,,3.11,0.3534,0.5744,19744,44713.0,0.3921,0.7345038500230752,47.0,817271,0.8743195880325815
XGBoost,D1_core_momentum,bin_follow_through_hod_10m_1p0,0.4261,32814,0.4809,26757,,3.17,0.3457,0.5558,19809,44504.0,0.3829,0.7297876451942478,47.0,817271,0.8732720473057645
XGBoost,D1_core_momentum,bin_mfr10m_1atr,0.7756,39110,0.8624,13926,,3.06,0.6303,0.942,4379,174548.0,0.6925,0.5919184239490421,47.0,832681,0.5945056476138771
XGBoost,D1_core_momentum,bin_mfr10m_1p5atr,0.688,35056,0.8033,13350,,3.04,0.5059,0.9102,4746,163129.0,0.5807,0.6087493875896478,47.0,832681,0.6128922220994422
XGBoost,D2_breakout_structure,bin_fr5m_2p5,0.2888,40456,0.3675,15369,,2.61,0.2039,0.5228,3133,113292.0,0.242,0.565989138876378,37.0,833584,0.6767130913872704
XGBoost,D2_breakout_structure,bin_fr5m_2p0,0.3292,39338,0.4257,12350,,2.57,0.2326,0.6044,2212,126800.0,0.2727,0.5651702726496484,37.0,833584,0.6480999779234616
XGBoost,D2_breakout_structure,bin_fr5m_1p5,0.3821,37631,0.4875,9860,,2.8,0.272,0.65,1860,143099.0,0.3157,0.5666272321643815,37.0,833584,0.6196308418839926
XGBoost,D2_breakout_structure,bin_fr5m_1p0,0.4505,32154,0.5762,7305,,2.65,0.3216,0.7179,1443,159433.0,0.369,0.5681739283345234,37.0,833584,0.5983365808241268
XGBoost,D2_breakout_structure,bin_mfr10m_2p5,0.657,57916,0.7284,30466,,2.65,0.5279,0.8099,11682,131671.0,0.5889,0.6587688664651951,37.0,833236,0.6656119916074112
XGBoost,D2_breakout_structure,bin_mfr10m_2p0,0.7103,61138,0.7751,31607,,2.64,0.5887,0.8436,11765,139191.0,0.6476,0.6556006245049448,37.0,833236,0.6562351461261097
XGBoost,D2_breakout_structure,bin_mfr10m_1p5,0.7724,65841,0.8253,34023,,2.71,0.6631,0.8808,12328,148619.0,0.7168,0.6471815251930993,37.0,833236,0.6494413743104201
XGBoost,D2_breakout_structure,bin_mfr10m_1p0,0.8347,71629,0.8756,36439,,2.71,0.745,0.9195,12583,156611.0,0.789,0.630775174144707,37.0,833236,0.6480682161907826
XGBoost,D2_breakout_structure,bin_break_hod,0.3841,26806,0.4358,22218,,2.84,0.2986,0.5053,17369,37006.0,0.3401,0.7161215407159036,37.0,833584,0.8935718879279729
XGBoost,D2_breakout_structure,bin_first_touch_10m_2p5,0.5143,44165,0.6324,8896,,2.58,0.41,0.7648,1718,145257.0,0.4497,0.5954331380437752,37.0,803695,0.6050354913536492
XGBoost,D2_breakout_structure,bin_first_touch_10m_2p0,0.5581,36109,0.6824,7192,,2.6,0.4383,0.8057,1585,156241.0,0.4771,0.5856409212373757,37.0,797654,0.5883571399911728
XGBoost,D2_breakout_structure,bin_first_touch_10m_1p5,0.6089,31208,0.7089,7107,,2.56,0.4691,0.8111,1795,163628.0,0.5134,0.5840470100626967,37.0,785381,0.5846950834369078
XGBoost,D2_breakout_structure,bin_first_touch_10m_1p0,0.6462,30806,0.74,7968,,2.48,0.5012,0.8476,1785,161216.0,0.552,0.5868997942384374,37.0,760476,0.5871407603806638
XGBoost,D2_breakout_structure,bin_tb10m_tp1p5_sl0p5,0.4646,29509,0.5739,9023,,3.86,0.3177,0.6903,2244,143238.0,0.369,0.5742020993415189,37.0,759715,0.609250180359033
XGBoost,D2_breakout_structure,bin_tb10m_tp2p0_sl0p7,0.4351,26905,0.5534,7098,,2.52,0.2924,0.6919,1600,151862.0,0.3385,0.559528552358167,37.0,779298,0.5969198388048974
XGBoost,D2_breakout_structure,bin_tb10m_tp2p5_sl1p0,0.4206,26801,0.5462,6444,,2.52,0.2863,0.685,1524,153297.0,0.3248,0.5494777649360821,37.0,792166,0.5847574894450841
XGBoost,D2_breakout_structure,bin_tb10m_tp4p0_sl2p0,0.3407,41581,0.4549,9304,,2.67,0.2564,0.6518,1637,126434.0,0.2895,0.5625504519586727,37.0,806939,0.6243821422374259
XGBoost,D2_breakout_structure,bin_tb10m_tp5p0_sl2p5,0.3035,44128,0.3795,14787,,2.58,0.2324,0.5545,2431,110426.0,0.264,0.5705582577825234,37.0,809896,0.6623609492007666
XGBoost,D2_breakout_structure,bin_tb10m_tp6p0_sl3p0,0.2838,42772,0.3402,19286,,2.61,0.2133,0.4945,3701,96983.0,0.2432,0.5759339024702573,37.0,811395,0.695886480063505
XGBoost,D2_breakout_structure,bin_fr10m_1p0,0.5107,27070,0.6166,8308,,2.61,0.3601,0.7041,2437,164878.0,0.4137,0.5707204184004389,37.0,817271,0.5936325187969925
XGBoost,D2_breakout_structure,bin_fr10m_1p5,0.4535,29124,0.5601,8936,,2.57,0.3125,0.6321,2789,153388.0,0.3636,0.5694508987673614,37.0,817271,0.6088512296365914
XGBoost,D2_breakout_structure,bin_mae10m_lt_0p5,0.4345,55244,0.5426,27310,,2.71,0.3166,0.7203,9774,114604.0,0.3671,0.6238766420351565,37.0,817271,0.67609453320802
XGBoost,D2_breakout_structure,bin_mae10m_lt_1p0,0.5874,63932,0.6888,34291,,2.67,0.4614,0.8301,14134,125977.0,0.5175,0.6620637387822067,37.0,817271,0.6744742716165414
XGBoost,D2_breakout_structure,bin_opportunity_clean_10m_1p5_0p5,0.2869,43427,0.3782,11157,,2.67,0.1994,0.4991,2118,131924.0,0.2314,0.5332982608921615,37.0,817271,0.6095169564536341
XGBoost,D2_breakout_structure,bin_opportunity_clean_10m_1p0_0p3,0.2593,49043,0.3396,17241,,2.76,0.1844,0.49,2951,118054.0,0.2142,0.5388151516625286,37.0,817271,0.6363614113408521
XGBoost,D2_breakout_structure,bin_rr10m_ge_2,0.5623,27482,0.6622,8007,,2.61,0.4016,0.7704,2875,175275.0,0.4598,0.5702606067520192,37.0,817271,0.5811893013784462
XGBoost,D2_breakout_structure,bin_rr10m_ge_3,0.4864,28471,0.5971,7577,,2.65,0.337,0.7166,2449,169094.0,0.3922,0.5641816336804787,37.0,817271,0.5892416588345865
XGBoost,D2_breakout_structure,bin_follow_through_hod_10m_0p5,0.436,32615,0.4965,26528,,2.76,0.3396,0.5707,20221,46135.0,0.386,0.729969976900847,37.0,817271,0.871749686716792
XGBoost,D2_breakout_structure,bin_follow_through_hod_10m_1p0,0.4196,32965,0.4772,26863,,2.83,0.3286,0.5492,20313,46310.0,0.3721,0.7222786434990194,37.0,817271,0.8682937813283208
XGBoost,D2_breakout_structure,bin_mfr10m_1atr,0.7601,37336,0.826,12764,,2.71,0.622,0.8755,3711,177162.0,0.6807,0.5804656646952839,37.0,832681,0.5831383533277922
XGBoost,D2_breakout_structure,bin_mfr10m_1p5atr,0.6538,33876,0.7346,10970,,2.68,0.4948,0.8215,3076,167290.0,0.5611,0.5930871171385508,37.0,832681,0.5967012746167262
XGBoost,D3_liquidity_context,bin_fr5m_2p5,0.2974,39887,0.3798,15189,,2.58,0.209,0.5136,3746,110416.0,0.2465,0.5706480410177033,33.0,833584,0.6817187065068198
XGBoost,D3_liquidity_context,bin_fr5m_2p0,0.3362,39695,0.4273,12777,,2.48,0.2359,0.5679,2914,125211.0,0.2779,0.5701199118024822,33.0,833584,0.6520209631129839
XGBoost,D3_liquidity_context,bin_fr5m_1p5,0.3869,37939,0.4938,10253,,2.5,0.2755,0.6276,2092,141436.0,0.3212,0.5721953287810402,33.0,833584,0.6257834771507828
XGBoost,D3_liquidity_context,bin_fr5m_1p0,0.4478,34128,0.5677,7717,,4.56,0.3247,0.6963,1363,158465.0,0.374,0.5729348308647566,33.0,833584,0.602281562251039
XGBoost,D3_liquidity_context,bin_mfr10m_2p5,0.6718,60185,0.7459,32908,,2.51,0.5381,0.8306,13644,130220.0,0.6013,0.6714721737285405,33.0,833236,0.67763432703249
XGBoost,D3_liquidity_context,bin_mfr10m_2p0,0.7196,64016,0.7864,33917,,2.5,0.5971,0.8658,13177,138443.0,0.6553,0.6659342656634953,33.0,833236,0.6663225769280628
XGBoost,D3_liquidity_context,bin_mfr10m_1p5,0.7811,68345,0.8348,35640,,2.56,0.6684,0.893,13507,148194.0,0.7223,0.6567534437909783,33.0,833236,0.659543208868873
XGBoost,D3_liquidity_context,bin_mfr10m_1p0,0.8371,73572,0.8811,37322,,2.59,0.748,0.9269,13454,156885.0,0.792,0.6387862470480533,33.0,833236,0.65732503036792
XGBoost,D3_liquidity_context,bin_break_hod,0.3835,25710,0.4411,20736,,2.68,0.2939,0.5139,15527,36900.0,0.3361,0.7118128577302243,33.0,833584,0.8933655202864191
XGBoost,D3_liquidity_context,bin_first_touch_10m_2p5,0.514,46675,0.6178,9870,,2.44,0.4142,0.7272,1580,143895.0,0.4561,0.6020774524831763,33.0,803695,0.6112825669258415
XGBoost,D3_liquidity_context,bin_first_touch_10m_2p0,0.5504,38584,0.6487,7554,,2.43,0.4427,0.7571,1260,154592.0,0.4826,0.591555145835843,33.0,797654,0.5941499819443887
XGBoost,D3_liquidity_context,bin_first_touch_10m_1p5,0.5947,31695,0.6806,6547,,2.38,0.469,0.7692,1109,164757.0,0.5109,0.5820409104267106,33.0,785381,0.5823366409258542
XGBoost,D3_liquidity_context,bin_first_touch_10m_1p0,0.6286,29498,0.7103,6639,,2.38,0.4966,0.7945,1051,165353.0,0.5455,0.581143077541747,33.0,760476,0.5812540441582628
XGBoost,D3_liquidity_context,bin_tb10m_tp1p5_sl0p5,0.4563,26642,0.5574,7489,,2.32,0.3082,0.6652,1798,151238.0,0.3622,0.5679168101151892,33.0,759715,0.6054850209848394
XGBoost,D3_liquidity_context,bin_tb10m_tp2p0_sl0p7,0.4248,25689,0.5375,6318,,2.41,0.2889,0.6674,1335,155032.0,0.3341,0.5554568054577544,33.0,779298,0.5941168921173542
XGBoost,D3_liquidity_context,bin_tb10m_tp2p5_sl1p0,0.4067,27256,0.5376,6036,,2.45,0.2876,0.648,1199,152612.0,0.3266,0.5510562517197266,33.0,792166,0.5856059228733612
XGBoost,D3_liquidity_context,bin_tb10m_tp4p0_sl2p0,0.3464,44070,0.4477,10648,,2.51,0.2621,0.5968,2093,123764.0,0.2979,0.5710828084299204,33.0,806939,0.6321955330804888
XGBoost,D3_liquidity_context,bin_tb10m_tp5p0_sl2p5,0.3176,44959,0.3971,15871,,2.48,0.2411,0.5528,3354,105402.0,0.276,0.5826848566029097,33.0,809896,0.674369208274881
XGBoost,D3_liquidity_context,bin_tb10m_tp6p0_sl3p0,0.2975,43516,0.3569,20275,,2.48,0.2243,0.5121,5019,91306.0,0.2581,0.5904722630122798,33.0,811395,0.7106632021654776
XGBoost,D3_liquidity_context,bin_fr10m_1p0,0.4961,32001,0.5987,8039,,4.7,0.3665,0.715,1930,163452.0,0.4153,0.5726816703568014,33.0,817271,0.5891143875313283
XGBoost,D3_liquidity_context,bin_fr10m_1p5,0.4402,33659,0.553,9333,,2.54,0.3197,0.7158,2122,150506.0,0.3659,0.5709409063784701,33.0,817271,0.6037554824561403
XGBoost,D3_liquidity_context,bin_mae10m_lt_0p5,0.4289,55427,0.5378,26871,,2.55,0.3127,0.7212,9273,116833.0,0.3623,0.6193360098276116,33.0,817271,0.6705680216165414
XGBoost,D3_liquidity_context,bin_mae10m_lt_1p0,0.5862,65816,0.6898,34271,,2.63,0.4637,0.8162,13355,125972.0,0.5173,0.6632579578716589,33.0,817271,0.6746211231203008
XGBoost,D3_liquidity_context,bin_opportunity_clean_10m_1p5_0p5,0.2764,44467,0.3639,10397,,2.47,0.1982,0.498,1269,135072.0,0.2258,0.5230610898886402,33.0,817271,0.5930597979323309
XGBoost,D3_liquidity_context,bin_opportunity_clean_10m_1p0_0p3,0.2523,47512,0.3267,15744,,2.47,0.1791,0.4417,2214,123924.0,0.2076,0.5279194350226205,33.0,817271,0.6194734884085213
XGBoost,D3_liquidity_context,bin_rr10m_ge_2,0.5605,28155,0.6744,6392,,2.49,0.4057,0.7993,1345,173863.0,0.4564,0.5680948191148791,33.0,817271,0.5758390115914787
XGBoost,D3_liquidity_context,bin_rr10m_ge_3,0.4833,29107,0.5999,6426,,2.56,0.3395,0.7534,1306,169564.0,0.3885,0.5602682150600111,33.0,817271,0.5811990914786967
XGBoost,D3_liquidity_context,bin_follow_through_hod_10m_0p5,0.4523,29511,0.5153,23555,,2.55,0.3527,0.5911,17564,42804.0,0.4004,0.7352720423720738,33.0,817271,0.8803845551378446
XGBoost,D3_liquidity_context,bin_follow_through_hod_10m_1p0,0.4362,29636,0.4987,23657,,2.69,0.343,0.5732,17434,42968.0,0.3878,0.7288611781518761,33.0,817271,0.8780740914786967
XGBoost,D3_liquidity_context,bin_mfr10m_1atr,0.7723,37332,0.8631,12120,,2.52,0.625,0.9451,3773,178427.0,0.6838,0.5879221659840295,33.0,832681,0.59162298634099
XGBoost,D3_liquidity_context,bin_mfr10m_1p5atr,0.6875,33927,0.8066,11772,,2.52,0.4989,0.9205,4077,168553.0,0.569,0.6021251132583108,33.0,832681,0.6050225568244604
XGBoost,D_clean_ext,bin_fr5m_2p5,0.3064,41125,0.3821,16586,,4.08,0.2124,0.532,4013,109931.0,0.2538,0.5771851953241028,71.0,833584,0.6850589827515046
XGBoost,D_clean_ext,bin_fr5m_2p0,0.347,40935,0.4445,13610,,4.05,0.241,0.6022,3147,124286.0,0.2859,0.5777431105452018,71.0,833584,0.6576936736319745
XGBoost,D_clean_ext,bin_fr5m_1p5,0.4022,39010,0.5198,10779,,4.05,0.2791,0.6614,2484,140915.0,0.328,0.578686834678569,71.0,833584,0.6310290546442318
XGBoost,D_clean_ext,bin_fr5m_1p0,0.4681,33930,0.593,8351,,4.0,0.3293,0.7134,1982,155377.0,0.3802,0.5790614651448587,71.0,833584,0.608626167416949
XGBoost,D_clean_ext,bin_mfr10m_2p5,0.6818,60757,0.7558,34236,,6.11,0.5416,0.8417,14957,130765.0,0.61,0.6793976527410281,71.0,833236,0.6854267592988251
XGBoost,D_clean_ext,bin_mfr10m_2p0,0.7315,65005,0.7981,35485,,4.17,0.5988,0.8773,14578,139567.0,0.662,0.6739537148987607,71.0,833236,0.6742398417507286
XGBoost,D_clean_ext,bin_mfr10m_1p5,0.7886,69835,0.8445,37853,,4.1,0.6709,0.9052,15570,149305.0,0.7277,0.6648436981511057,71.0,833236,0.6679502014125284
XGBoost,D_clean_ext,bin_mfr10m_1p0,0.8442,75741,0.8881,40888,,4.12,0.7518,0.9329,16365,156250.0,0.7965,0.6467434690233385,71.0,833236,0.6658424517114063
XGBoost,D_clean_ext,bin_break_hod,0.4237,24999,0.473,21289,,4.19,0.3447,0.5388,16936,32764.0,0.3827,0.7441287536395702,71.0,833584,0.9096973594540376
XGBoost,D_clean_ext,bin_first_touch_10m_2p5,0.5295,47924,0.6529,10145,,3.89,0.4156,0.7926,2175,144835.0,0.4632,0.609655941895914,71.0,803695,0.6181667944289028
XGBoost,D_clean_ext,bin_first_touch_10m_2p0,0.5731,39524,0.6887,8627,,3.89,0.4451,0.8112,2071,154073.0,0.4869,0.5963697270086643,71.0,797654,0.5984783132046704
XGBoost,D_clean_ext,bin_first_touch_10m_1p5,0.6134,34005,0.7111,8370,,3.8,0.4758,0.8129,2218,160572.0,0.5214,0.5929961785131,71.0,785381,0.5934259051732921
XGBoost,D_clean_ext,bin_first_touch_10m_1p0,0.6496,32997,0.7442,8918,,3.76,0.5074,0.8559,2144,157809.0,0.5587,0.5939225743512482,71.0,760476,0.5941374829685042
XGBoost,D_clean_ext,bin_tb10m_tp1p5_sl0p5,0.4705,31288,0.5826,9809,,3.84,0.3222,0.695,2810,140618.0,0.3753,0.5801940276528917,71.0,759715,0.614042201380734
XGBoost,D_clean_ext,bin_tb10m_tp2p0_sl0p7,0.4437,28252,0.5605,7765,,3.8,0.2978,0.7145,2000,148467.0,0.3459,0.5668445499584639,71.0,779298,0.6036705254241639
XGBoost,D_clean_ext,bin_tb10m_tp2p5_sl1p0,0.4354,28458,0.5602,7140,,3.98,0.2921,0.7012,1834,150954.0,0.3345,0.5591921359856697,71.0,792166,0.5930650667636305
XGBoost,D_clean_ext,bin_tb10m_tp4p0_sl2p0,0.3619,45361,0.4864,11113,,3.92,0.2658,0.6476,2330,125400.0,0.3049,0.5776404189994582,71.0,806939,0.6362608760318287
XGBoost,D_clean_ext,bin_tb10m_tp5p0_sl2p5,0.329,46713,0.4073,17501,,3.98,0.246,0.6036,3582,106771.0,0.2837,0.5897213183699915,71.0,809896,0.678380194028966
XGBoost,D_clean_ext,bin_tb10m_tp6p0_sl3p0,0.3107,44386,0.3692,22784,,4.04,0.2325,0.5432,5372,90955.0,0.2681,0.5997352104460789,71.0,811395,0.71642203146648
XGBoost,D_clean_ext,bin_fr10m_1p0,0.53,30577,0.6448,9259,,3.86,0.3719,0.75,2856,159413.0,0.427,0.5834138088874643,71.0,817271,0.6041372963659147
XGBoost,D_clean_ext,bin_fr10m_1p5,0.4741,31917,0.6081,9438,,3.88,0.3239,0.7333,2940,148303.0,0.3773,0.5821084538864503,71.0,817271,0.6190133536967418
XGBoost,D_clean_ext,bin_mae10m_lt_0p5,0.4458,54605,0.5533,28164,,4.04,0.3276,0.7304,10323,110279.0,0.379,0.6348111738649238,71.0,817271,0.6887873981829574
XGBoost,D_clean_ext,bin_mae10m_lt_1p0,0.6038,63070,0.7016,35028,,4.03,0.4751,0.8374,15298,121866.0,0.5317,0.6736724421798082,71.0,817271,0.6870692355889725
XGBoost,D_clean_ext,bin_opportunity_clean_10m_1p5_0p5,0.2919,46099,0.3898,12921,,4.15,0.2101,0.5506,2205,124672.0,0.2406,0.5454774952019907,71.0,817271,0.6249951049498746
XGBoost,D_clean_ext,bin_opportunity_clean_10m_1p0_0p3,0.2677,48479,0.3475,19063,,4.13,0.1935,0.5073,3412,111617.0,0.2247,0.5523989664250324,71.0,817271,0.6538269501879699
XGBoost,D_clean_ext,bin_rr10m_ge_2,0.5843,29935,0.6999,8804,,5.45,0.4133,0.8035,3287,167872.0,0.4749,0.5831852459312707,71.0,817271,0.5957961309523809
XGBoost,D_clean_ext,bin_rr10m_ge_3,0.5154,29948,0.64,8223,,4.0,0.3487,0.7642,2735,160176.0,0.4083,0.5788524482044235,71.0,817271,0.6072064927944862
XGBoost,D_clean_ext,bin_follow_through_hod_10m_0p5,0.492,29869,0.5467,25185,,4.16,0.3993,0.616,19903,39925.0,0.4453,0.7672328629167874,71.0,817271,0.8966850720551378
XGBoost,D_clean_ext,bin_follow_through_hod_10m_1p0,0.4778,29934,0.5308,25200,,4.11,0.3887,0.5988,19836,39934.0,0.4338,0.7616266501853219,71.0,817271,0.8950892857142857
XGBoost,D_clean_ext,bin_mfr10m_1atr,0.7852,41390,0.8606,16930,,4.04,0.6348,0.9232,6546,171558.0,0.702,0.5974559066203191,71.0,832681,0.5993533229877823
XGBoost,D_clean_ext,bin_mfr10m_1p5atr,0.6915,37261,0.799,15613,,4.05,0.5122,0.8878,6175,159820.0,0.5898,0.6151144373765279,71.0,832681,0.6197097160098203
LightGBM,A_base,mc_2p5,0.2854,40679,0.3599,14501,,5.54,0.1996,0.5155,2830,117453.0,0.2346,0.5570408296220568,23.0,833584,0.663438372863135
LightGBM,A_base,bin_fr5m_2p5,0.2848,40567,0.3594,14709,,2.83,0.1997,0.5091,2868,116995.0,0.2357,0.5584966454599958,23.0,833584,0.665598034228233
LightGBM,A_base,bin_fr5m_2p0,0.3236,39671,0.4067,12364,,2.83,0.2285,0.5775,2000,131308.0,0.2665,0.557841827335397,23.0,833584,0.63713849668372
LightGBM,A_base,bin_fr5m_1p5,0.3762,37328,0.4746,9460,,2.9,0.2683,0.6374,1346,147323.0,0.312,0.5625275237733458,23.0,833584,0.6143180749258517
LightGBM,A_base,bin_fr5m_1p0,0.4429,31968,0.5625,5724,,2.98,0.3186,0.7193,659,163603.0,0.364,0.5627834613031305,23.0,833584,0.5911329103596557
LightGBM,A_base,bin_mfr10m_2p5,0.6545,57134,0.7217,28978,,2.88,0.5232,0.7996,10435,134118.0,0.5844,0.6553888854440635,23.0,833236,0.6620398599954869
LightGBM,A_base,bin_mfr10m_2p0,0.7074,60330,0.7657,30142,,2.87,0.5865,0.8373,10084,140826.0,0.6423,0.6511389590244661,23.0,833236,0.6517363728460382
LightGBM,A_base,bin_mfr10m_1p5,0.7716,64108,0.8207,31820,,2.88,0.6593,0.8739,9960,150844.0,0.7137,0.6447754176606375,23.0,833236,0.6471751832878014
LightGBM,A_base,bin_mfr10m_1p0,0.8302,68587,0.8709,33038,,2.92,0.7417,0.9087,9304,158017.0,0.7866,0.6250713442709266,23.0,833236,0.6415433144964207
LightGBM,A_base,bin_break_hod,0.3557,27400,0.4135,21849,,2.86,0.2648,0.4899,16192,40569.0,0.3086,0.6930271362523658,23.0,833584,0.8806235182323412
LightGBM,A_base,bin_first_touch_10m_2p5,0.5038,43194,0.6112,6936,,5.01,0.4053,0.7646,565,148945.0,0.4419,0.5875353696240586,23.0,803695,0.5950999034316605
LightGBM,A_base,bin_first_touch_10m_2p0,0.5436,33798,0.6483,5001,,2.85,0.435,0.7433,483,158997.0,0.4709,0.5790448427185428,23.0,797654,0.5807838141475745
LightGBM,A_base,bin_first_touch_10m_1p5,0.589,28505,0.6786,4819,,2.89,0.4636,0.7533,523,168853.0,0.5034,0.573973255676172,23.0,785381,0.5741355773345015
LightGBM,A_base,bin_first_touch_10m_1p0,0.6281,26547,0.7126,5142,,2.91,0.4921,0.784,625,170123.0,0.5419,0.5769558436262094,23.0,760476,0.5771401817043595
LightGBM,A_base,bin_tb10m_tp1p5_sl0p5,0.4479,25581,0.5593,6544,,2.85,0.3035,0.6719,1344,156270.0,0.3572,0.562967104677671,23.0,759715,0.5991237447274604
LightGBM,A_base,bin_tb10m_tp2p0_sl0p7,0.4183,23756,0.5298,5166,,2.88,0.2837,0.6609,814,161360.0,0.327,0.5472952022562617,23.0,779298,0.5831361174568136
LightGBM,A_base,bin_tb10m_tp2p5_sl1p0,0.4038,25158,0.5303,4347,,2.83,0.2813,0.672,625,159798.0,0.3156,0.5370096772681098,23.0,792166,0.5672636001858473
LightGBM,A_base,bin_tb10m_tp4p0_sl2p0,0.3282,42497,0.4253,7985,,2.8,0.2509,0.6031,912,131035.0,0.2816,0.5523819051112941,23.0,806939,0.6096180064946333
LightGBM,A_base,bin_tb10m_tp5p0_sl2p5,0.294,45466,0.3621,13670,,2.78,0.226,0.5116,1861,114605.0,0.256,0.5614141796391028,23.0,809896,0.6498192092628085
LightGBM,A_base,bin_tb10m_tp6p0_sl3p0,0.2706,44642,0.3199,19658,,2.79,0.2048,0.4604,3054,100915.0,0.2356,0.5671672696786375,23.0,811395,0.6827121719365543
LightGBM,A_base,bin_fr10m_1p0,0.4973,25362,0.6141,5038,,2.88,0.3558,0.7513,937,171441.0,0.4042,0.5618931261837576,23.0,817271,0.5804207785087719
LightGBM,A_base,bin_fr10m_1p5,0.4393,29477,0.5486,6752,,2.8,0.3076,0.6988,1288,161161.0,0.3542,0.5593071206242569,23.0,817271,0.5913954808897243
LightGBM,A_base,bin_mae10m_lt_0p5,0.4208,56006,0.5328,26383,,2.96,0.3034,0.7381,8641,120528.0,0.3539,0.6110518513288988,23.0,817271,0.6605674342105263
LightGBM,A_base,bin_mae10m_lt_1p0,0.5776,65143,0.6843,33419,,2.95,0.4524,0.8314,12140,129406.0,0.5077,0.6546147056498366,23.0,817271,0.6655457001879699
LightGBM,A_base,bin_opportunity_clean_10m_1p5_0p5,0.2679,43720,0.3554,8685,,4.91,0.191,0.4821,1033,141300.0,0.2186,0.5114473382956266,23.0,817271,0.5772487860275689
LightGBM,A_base,bin_opportunity_clean_10m_1p0_0p3,0.2434,49600,0.3196,14446,,2.97,0.1728,0.4287,1696,129289.0,0.1999,0.5147183668421507,23.0,817271,0.5996828007518797
LightGBM,A_base,bin_rr10m_ge_2,0.5355,24679,0.5937,4159,,2.85,0.3951,0.6716,612,183339.0,0.443,0.5548952024754714,23.0,817271,0.5614622493734336
LightGBM,A_base,bin_rr10m_ge_3,0.4635,25505,0.5248,4369,,2.97,0.3296,0.5892,628,178639.0,0.378,0.5491885900032838,23.0,817271,0.5682272086466166
